--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed  |    Rel. |    Aki    |    fik    | Acc. |         Ei           Ek         |               Configurations                  |      Terms     |  Ji   Jk  | gi   gk |Type|     TP  | Line  |
   Wavelength |    Int. |    s^-1   |           |      |        (eV)         (eV)        |                                               |                |           |         |    |    Ref. | Ref.  |
    Air (nm)  |    (?)  |           |           |      |                                 |                                               |                |           |         |    |         |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    403.910   |     190 | 6.7e+07   | 1.6e-01   | B    |    3.849461    -     6.918206   |          3d5.(2I).4s - 3d5.(2I).4p            |  a 3I  - x 3I* |   7 - 7   | 15 - 15 |    |      17 |    1  |
    404.878   |     160 | 6.4e+07   | 1.6e-01   | B    |    3.849626    -     6.911016   |          3d5.(2I).4s - 3d5.(2I).4p            |  a 3I  - x 3I* |   6 - 6   | 13 - 13 |    |      17 |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    405.877   |     120 | 6.7e+07   | 1.7e-01   | B    |    3.850372    -     6.904241   |          3d5.(2I).4s - 3d5.(2I).4p            |  a 3I  - x 3I* |   5 - 5   | 11 - 11 |    |      17 |    1  |
    406.572   |      40 | 3.5e+07   | 1.1e-01   | D    |    4.105522    -     7.154180   |         3d5.(2F1).4s - 3d5.(a 2F).4p          |  b 3F  - t 3G* |   4 - 5   |  9 - 11 |    |      18 |    1  |
    406.694   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    407.486   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    407.606   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    407.709   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    407.768   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    410.487   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    410.958   |      40 | 3.1e+06   | 1.1e-02   | D    |    2.708792    -     5.724896   |          3d5.(4P).4s - 3d5.(4P).4p            |  a 5P  - *     |   2 - 3   |  5 - 7  |    |      18 |    1  |
    412.061   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    412.182   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    412.216   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    412.339   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    412.652   |     140 | 6.71e+06  | 1.71e-02  | B    |    2.544106    -     5.547829   |          3d5.(4G).4s - 3d4.(a 3F).4s.4p.(3P*) |  a 5G  - y 5G* |   6 - 6   | 13 - 13 |    |      16 |    1  |
    412.730   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    412.764   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    413.136   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    415.278   |      30 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    415.382   |     120 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    416.142   |      85 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
    416.362   |     140 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    416.552   |      70 | 7.5e+07   | 2.3e-01   | D    |    4.449098    -     7.424703   |          3d5.(2H).4s - 3d4.(3H).4s.4p.(1P*)   |  b 3H  - w 3I* |   5 - 6   | 11 - 13 |    |     10n |    1  |
    416.984   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    417.020   |      35 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
    417.277   |      40 |           |           |      |                                 |                                               |                |           |         |    |         |    1  |
              |         |           |           |      |                                 |                                               |                |           |         |    |         |       |
