--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed  |  Rel. |    Aki    |    fik    | Acc. |          Ei           Ek           |                   Configurations                      |      Terms     |  Ji   Jk  | gi   gk |Type|      TP  | Line  |
     Wavelength |  Int. |    s^-1   |           |      |         (eV)         (eV)          |                                                       |                |           |         |    |     Ref. | Ref.  |
      Air (nm)  |  (?)  |           |           |      |                                    |                                                       |                |           |         |    |          |       |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      367.7629  |   150 | 8.0e+07   | 1.2e-01   | C+   |    2.7585773    -     6.1289255    |          3p6.3d7.(2G).4s - 3p6.3d7.(2G).4p            |  a 3G  - w 3F* |   3 - 2   |  7 - 5  |    |       4n |   56  |
      367.9913  |  1500 | 1.38e+06  | 2.80e-03  | B+   |    0.0          -     3.3682561    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   4 - 4   |  9 - 9  |    |        1 |   56  |
      368.2242  |   200 | 1.7e+08   | 3.5e-01   | C+   |    3.5465189    -     6.9126442    |         3p6.3d7.(2D2).4s - 3p6.3d7.(a 2D).4p          |  a 1D  - w 1D* |   2 - 2   |  5 - 5  |    |       4n |   56  |
      368.3054  |   120 | 2.8e+05   | 4.1e-04   | C    |    0.0515690    -     3.4169523    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   3 - 2   |  7 - 5  |    |    4n,6n |   56  |
      368.4107  |   150 | 3.4e+07   | 5.4e-02   | C+   |    2.7275440    -     6.0919659    |          3p6.3d7.(2G).4s - 3p6.3d6.(a 3F).4s.4p.(3P*) |  a 3G  - *     |   4 - 3   |  9 - 7  |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      368.5998  |   120 | 2.6e+07   | 6.5e-02   | C+   |    2.9398458    -     6.3025414    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7P* - e 7F  |   4 - 5   |  9 - 11 |    |       4n |   56  |
      368.7456  |   500 | 8.01e+06  | 1.34e-02  | B+   |    0.8589955    -     4.2203615    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   5 - 4   | 11 - 9  |    |        3 |   56  |
      368.9477  |   120 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      369.4008  |   150 | 6.8e+07   | 1.9e-01   | C+   |    3.0384705    -     6.3938751    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7P* - e 7S  |   2 - 3   |  5 - 7  |    |       4n |   56  |
      369.5051  |   120 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      370.1086  |   150 | 4.8e+07   | 1.3e-01   | C+   |    2.9980448    -     6.3470322    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7P* - e 7F  |   3 - 4   |  7 - 9  |    |       4n |   56  |
      370.4462  |    80 | 1.3e+07   | 2.2e-02   | C+   |    2.6924072    -     6.0383433    |          3p6.3d7.(2G).4s - 3p6.3d6.(3H).4s.4p.(3P*)   |  a 3G  - y 1G* |   5 - 4   | 11 - 9  |    |       4n |   56  |
      370.5566  |  1200 | 3.22e+06  | 6.63e-03  | B+   |    0.0515690    -     3.3965082    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   3 - 3   |  7 - 7  |    |        1 |   56  |
      370.7041  |    60 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      370.7821  |   150 | 7.2e+05   | 8.9e-04   | C    |    0.0872854    -     3.4301895    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   2 - 1   |  5 - 3  |    |       6n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      370.7919  |   300 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      370.9246  |   600 | 1.56e+07  | 2.50e-02  | B+   |    0.9146016    -     4.2562222    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   4 - 3   |  9 - 7  |    |        3 |   56  |
      371.6442  |   120 |           |           |      |                                    |                                                       |                |           |         |    |          |   56  |
      371.9935  |  8000 | 1.62e+07  | 4.11e-02  | B+   |    0.0          -     3.3320192    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   4 - 5   |  9 - 11 |    | 16,17,18 |   56  |
      372.2563  |  1500 | 4.97e+06  | 1.03e-02  | B+   |    0.0872854    -     3.4169523    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   2 - 2   |  5 - 5  |    |        1 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      372.4377  |   120 | 1.3e+07   | 3.8e-02   | C+   |    2.2786039    -     5.6066489    |              3p6.3d6.4s2 - 3p6.3d6.(a 3P).4s.4p.(3P*) | a 3P2  - *     |   2 - 3   |  5 - 7  |    |       4n |   56  |
      372.5491  |    60 | 1.5e+06   | 3.1e-03   | C    |    3.0468681    -     6.3739178    |          3p6.3d7.(2G).4s - 3p6.3d6.(3G).4s.4p.(3P*)   |  a 1G  - x 3H* |   4 - 4   |  9 - 9  |    |    4n,5n |   56  |
      372.7093  |    60 | 2.0e+07   | 3.2e-02   | C    |    2.9398458    -     6.2654656    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7P* - f 5D  |   4 - 3   |  9 - 7  |    |       5n |   56  |
      372.7619  |   500 | 2.25e+07  | 3.35e-02  | B+   |    0.9581568    -     4.2833074    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   3 - 2   |  7 - 5  |    |        3 |   56  |
      373.2396  |   150 | 2.8e+07   | 5.9e-02   | C+   |    2.1978654    -     5.5187602    |          3p6.3d7.(4P).4s - 3p6.3d7.(4P).4p            |  a 5P  - y 5S* |   2 - 2   |  5 - 5  |    |       4n |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
      373.3317  |  1200 | 6.2e+06   | 1.3e-02   | C    |    0.110114     -     3.4301895    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   1 - 1   |  3 - 3  |    |    4n,6n |   56  |
      373.4864  |  5000 | 9.02e+07  | 1.89e-01  | B+   |    0.8589955    -     4.1776962    |          3p6.3d7.(4F).4s - 3p6.3d7.(4F).4p            |  a 5F  - y 5F* |   5 - 5   | 11 - 11 |    |        3 |   56  |
      373.5324  |   120 | 2.4e+07   | 5.0e-02   | C    |    2.9398458    -     6.2581376    | 3p6.3d6.(5D).4s.4p.(3P*) - 3p6.3d6.(5D).4s. (6D).4d   |  z 7P* - e 7P  |   4 - 4   |  9 - 9  |    |       5n |   56  |
      373.7131  |  6000 | 1.42e+07  | 3.82e-02  | B+   |    0.0515690    -     3.3682561    |              3p6.3d6.4s2 - 3p6.3d6.(5D).4s.4p.(3P*)   |  a 5D  - z 5F* |   3 - 4   |  7 - 9  |    |        1 |   56  |
      373.8306  |   100 | 3.8e+07   | 9.4e-02   | C+   |    3.2671122    -     6.5827572    |          3p6.3d7.(2H).4s - 3p6.3d7.(2H).4p            |  b 3H  - z 1I* |   5 - 6   | 11 - 13 |    |     4n,8 |   56  |
                |       |           |           |      |                                    |                                                       |                |           |         |    |          |       |
